Aplicativo,Tipo de Falha,Critério WCAG,Nível,Número de Ocorrências,Percentual (%)
Sirius_3.0.2_APKPure,Target Size Failure,2.5.5 Target Size (Enhanced),AAA,6,7.79
Sirius_3.0.2_APKPure,Target Size Failure (Minimum),2.5.8 Target Size (Minimum),AA,4,5.19
Sirius_3.0.2_APKPure,Gesture-Only Navigation,2.5.1 Pointer Gestures,A,2,2.6
Sirius_3.0.2_APKPure,Duplicate Text,3.2.4 Consistent Identification,AA,4,5.19
Sirius_3.0.2_APKPure,Resize Text - insufficient increase,1.4.4 Resize Text,AA,20,25.97
Sirius_3.0.2_APKPure,Resize Text - insufficient reduction,Optional Check - Text Reduction,Advisory,19,24.68
skustack_4.38_APKPure,Contrast Failure,1.4.3 Contrast (Minimum),AA,22,29.33
skustack_4.38_APKPure,Missing Content Description,1.1.1 Non-text Content,A,3,4.0
skustack_4.38_APKPure,Missing Accessible Name,"4.1.2 Name, Role, Value",A,3,4.0
skustack_4.38_APKPure,Missing Label or Instruction,3.3.2 Labels or Instructions,A,5,6.67
skustack_4.38_APKPure,Target Size Failure,2.5.5 Target Size (Enhanced),AAA,3,4.0
skustack_4.38_APKPure,Resize Text - insufficient increase,1.4.4 Resize Text,AA,18,24.0
skustack_4.38_APKPure,Resize Text - insufficient reduction,Optional Check - Text Reduction,Advisory,18,24.0
skustack_4.38_APKPure,Gesture-Only Navigation,2.5.1 Pointer Gestures,A,3,4.0
Sleepzy_ Sleep Cycle Tracker_3.22.6_APKPure,Overlapping Elements,1.4.12 Text Spacing,AA,3,0.85
Sleepzy_ Sleep Cycle Tracker_3.22.6_APKPure,Contrast Failure,1.4.3 Contrast (Minimum),AA,21,5.92
Sleepzy_ Sleep Cycle Tracker_3.22.6_APKPure,Missing Content Description,1.1.1 Non-text Content,A,15,4.23
Sleepzy_ Sleep Cycle Tracker_3.22.6_APKPure,Missing Accessible Name,"4.1.2 Name, Role, Value",A,27,7.61
Sleepzy_ Sleep Cycle Tracker_3.22.6_APKPure,Target Size Failure,2.5.5 Target Size (Enhanced),AAA,92,25.92
Sleepzy_ Sleep Cycle Tracker_3.22.6_APKPure,Target Size Failure (Minimum),2.5.8 Target Size (Minimum),AA,45,12.68
Sleepzy_ Sleep Cycle Tracker_3.22.6_APKPure,Gesture-Only Navigation,2.5.1 Pointer Gestures,A,20,5.63
Sleepzy_ Sleep Cycle Tracker_3.22.6_APKPure,Duplicate Text,3.2.4 Consistent Identification,AA,10,2.82
Sleepzy_ Sleep Cycle Tracker_3.22.6_APKPure,Resize Text - insufficient increase,1.4.4 Resize Text,AA,69,19.44
Sleepzy_ Sleep Cycle Tracker_3.22.6_APKPure,Resize Text - insufficient reduction,Optional Check - Text Reduction,Advisory,53,14.93
SMASH,Target Size Failure,2.5.5 Target Size (Enhanced),AAA,1,100.0
SMS Backup & Restore_10.21.004_APKPure,Target Size Failure,2.5.5 Target Size (Enhanced),AAA,16,6.04
SMS Backup & Restore_10.21.004_APKPure,Resize Text - insufficient increase,1.4.4 Resize Text,AA,101,38.11
SMS Backup & Restore_10.21.004_APKPure,Resize Text - insufficient reduction,Optional Check - Text Reduction,Advisory,112,42.26
SMS Backup & Restore_10.21.004_APKPure,Missing Content Description,1.1.1 Non-text Content,A,17,6.42
SMS Backup & Restore_10.21.004_APKPure,Missing Accessible Name,"4.1.2 Name, Role, Value",A,4,1.51
SMS Backup & Restore_10.21.004_APKPure,Target Size Failure (Minimum),2.5.8 Target Size (Minimum),AA,9,3.4
SMS Backup & Restore_10.21.004_APKPure,Gesture-Only Navigation,2.5.1 Pointer Gestures,A,1,0.38
SMS Backup & Restore_10.21.004_APKPure,Duplicate Text,3.2.4 Consistent Identification,AA,3,1.13
SMS Backup & Restore_10.21.004_APKPure,Contrast Failure,1.4.3 Contrast (Minimum),AA,2,0.75
Snapseed_2.22.0.633363672_APKPure,Contrast Failure,1.4.3 Contrast (Minimum),AA,23,25.0
Snapseed_2.22.0.633363672_APKPure,Target Size Failure,2.5.5 Target Size (Enhanced),AAA,6,6.52
Snapseed_2.22.0.633363672_APKPure,Resize Text - insufficient increase,1.4.4 Resize Text,AA,24,26.09
Snapseed_2.22.0.633363672_APKPure,Resize Text - insufficient reduction,Optional Check - Text Reduction,Advisory,24,26.09
Snapseed_2.22.0.633363672_APKPure,Missing Accessible Name,"4.1.2 Name, Role, Value",A,4,4.35
Snapseed_2.22.0.633363672_APKPure,Gesture-Only Navigation,2.5.1 Pointer Gestures,A,6,6.52
Snapseed_2.22.0.633363672_APKPure,Missing Content Description,1.1.1 Non-text Content,A,1,1.09
Snapseed_2.22.0.633363672_APKPure,Target Size Failure (Minimum),2.5.8 Target Size (Minimum),AA,1,1.09
Snapseed_2.22.0.633363672_APKPure,Overlapping Elements,1.4.12 Text Spacing,AA,3,3.26
Soho+Noho_6.3.3_APKPure,Resize Text - insufficient increase,1.4.4 Resize Text,AA,7,50.0
Soho+Noho_6.3.3_APKPure,Resize Text - insufficient reduction,Optional Check - Text Reduction,Advisory,7,50.0
solar,Target Size Failure,2.5.5 Target Size (Enhanced),AAA,2,3.85
solar,Target Size Failure (Minimum),2.5.8 Target Size (Minimum),AA,2,3.85
solar,Duplicate Text,3.2.4 Consistent Identification,AA,14,26.92
solar,Resize Text - insufficient increase,1.4.4 Resize Text,AA,18,34.62
solar,Resize Text - insufficient reduction,Optional Check - Text Reduction,Advisory,16,30.77
Sony _ Music Center_7.5.0_APKPure,Missing Content Description,1.1.1 Non-text Content,A,6,2.52
Sony _ Music Center_7.5.0_APKPure,Missing Accessible Name,"4.1.2 Name, Role, Value",A,6,2.52
Sony _ Music Center_7.5.0_APKPure,Target Size Failure,2.5.5 Target Size (Enhanced),AAA,11,4.62
Sony _ Music Center_7.5.0_APKPure,Resize Text - insufficient increase,1.4.4 Resize Text,AA,106,44.54
Sony _ Music Center_7.5.0_APKPure,Resize Text - insufficient reduction,Optional Check - Text Reduction,Advisory,105,44.12
Sony _ Music Center_7.5.0_APKPure,Contrast Failure,1.4.3 Contrast (Minimum),AA,4,1.68
SoundSeeder - Synced Music_2.7.1_APKPure,Contrast Failure,1.4.3 Contrast (Minimum),AA,12,4.96
SoundSeeder - Synced Music_2.7.1_APKPure,Missing Content Description,1.1.1 Non-text Content,A,25,10.33
SoundSeeder - Synced Music_2.7.1_APKPure,Missing Accessible Name,"4.1.2 Name, Role, Value",A,37,15.29
SoundSeeder - Synced Music_2.7.1_APKPure,Target Size Failure,2.5.5 Target Size (Enhanced),AAA,67,27.69
SoundSeeder - Synced Music_2.7.1_APKPure,Target Size Failure (Minimum),2.5.8 Target Size (Minimum),AA,17,7.02
SoundSeeder - Synced Music_2.7.1_APKPure,Gesture-Only Navigation,2.5.1 Pointer Gestures,A,8,3.31
SoundSeeder - Synced Music_2.7.1_APKPure,Duplicate Text,3.2.4 Consistent Identification,AA,32,13.22
SoundSeeder - Synced Music_2.7.1_APKPure,Resize Text - insufficient increase,1.4.4 Resize Text,AA,32,13.22
SoundSeeder - Synced Music_2.7.1_APKPure,Resize Text - insufficient reduction,Optional Check - Text Reduction,Advisory,12,4.96
Speed test 4G 5G WiFi & maps_2.15.8_APKPure,Overlapping Elements,1.4.12 Text Spacing,AA,6,2.08
Speed test 4G 5G WiFi & maps_2.15.8_APKPure,Contrast Failure,1.4.3 Contrast (Minimum),AA,8,2.77
Speed test 4G 5G WiFi & maps_2.15.8_APKPure,Resize Text - insufficient increase,1.4.4 Resize Text,AA,133,46.02
Speed test 4G 5G WiFi & maps_2.15.8_APKPure,Resize Text - insufficient reduction,Optional Check - Text Reduction,Advisory,133,46.02
Speed test 4G 5G WiFi & maps_2.15.8_APKPure,Target Size Failure,2.5.5 Target Size (Enhanced),AAA,5,1.73
Speed test 4G 5G WiFi & maps_2.15.8_APKPure,Target Size Failure (Minimum),2.5.8 Target Size (Minimum),AA,4,1.38
SpotHero - Find Parking_7.10.1_APKPure,Target Size Failure,2.5.5 Target Size (Enhanced),AAA,7,25.0
SpotHero - Find Parking_7.10.1_APKPure,Resize Text - insufficient increase,1.4.4 Resize Text,AA,10,35.71
SpotHero - Find Parking_7.10.1_APKPure,Resize Text - insufficient reduction,Optional Check - Text Reduction,Advisory,8,28.57
SpotHero - Find Parking_7.10.1_APKPure,Missing Label or Instruction,3.3.2 Labels or Instructions,A,1,3.57
SpotHero - Find Parking_7.10.1_APKPure,Target Size Failure (Minimum),2.5.8 Target Size (Minimum),AA,2,7.14
Star+_2.23.0-rc3_APKPure,Resize Text - insufficient increase,1.4.4 Resize Text,AA,6,50.0
Star+_2.23.0-rc3_APKPure,Resize Text - insufficient reduction,Optional Check - Text Reduction,Advisory,6,50.0
Status_Carteira_social_cripto,Target Size Failure,2.5.5 Target Size (Enhanced),AAA,7,21.21
Status_Carteira_social_cripto,Overlapping Elements,1.4.12 Text Spacing,AA,3,9.09
Status_Carteira_social_cripto,Contrast Failure,1.4.3 Contrast (Minimum),AA,1,3.03
Status_Carteira_social_cripto,Non-essential Content Description Should Be Empty,1.1.1 Non-text Content,A,5,15.15
Status_Carteira_social_cripto,Duplicate Text,3.2.4 Consistent Identification,AA,2,6.06
Status_Carteira_social_cripto,Resize Text - insufficient increase,1.4.4 Resize Text,AA,8,24.24
Status_Carteira_social_cripto,Resize Text - insufficient reduction,Optional Check - Text Reduction,Advisory,7,21.21
suntimeswidget,Missing Accessible Name,"4.1.2 Name, Role, Value",A,71,92.21
suntimeswidget,Target Size Failure,2.5.5 Target Size (Enhanced),AAA,2,2.6
suntimeswidget,Resize Text - insufficient increase,1.4.4 Resize Text,AA,2,2.6
suntimeswidget,Resize Text - insufficient reduction,Optional Check - Text Reduction,Advisory,2,2.6
Tank Spotter_4.2.0_APKPure,Missing Content Description,1.1.1 Non-text Content,A,2,4.0
Tank Spotter_4.2.0_APKPure,Missing Label or Instruction,3.3.2 Labels or Instructions,A,4,8.0
Tank Spotter_4.2.0_APKPure,Target Size Failure,2.5.5 Target Size (Enhanced),AAA,8,16.0
Tank Spotter_4.2.0_APKPure,Resize Text - insufficient increase,1.4.4 Resize Text,AA,18,36.0
Tank Spotter_4.2.0_APKPure,Resize Text - insufficient reduction,Optional Check - Text Reduction,Advisory,18,36.0
TaxiMe for Drivers_7.1.1_APKPure,Missing Content Description,1.1.1 Non-text Content,A,15,9.09
TaxiMe for Drivers_7.1.1_APKPure,Missing Accessible Name,"4.1.2 Name, Role, Value",A,15,9.09
TaxiMe for Drivers_7.1.1_APKPure,Target Size Failure,2.5.5 Target Size (Enhanced),AAA,15,9.09
TaxiMe for Drivers_7.1.1_APKPure,Resize Text - insufficient increase,1.4.4 Resize Text,AA,60,36.36
TaxiMe for Drivers_7.1.1_APKPure,Resize Text - insufficient reduction,Optional Check - Text Reduction,Advisory,60,36.36
TeamGram_4.10.0_APKPure,Error Message Detected,3.3.1 Error Identification,A,2,1.61
TeamGram_4.10.0_APKPure,Missing Label or Instruction,3.3.2 Labels or Instructions,A,10,8.06
TeamGram_4.10.0_APKPure,Target Size Failure,2.5.5 Target Size (Enhanced),AAA,16,12.9
TeamGram_4.10.0_APKPure,Duplicate Text,3.2.4 Consistent Identification,AA,8,6.45
TeamGram_4.10.0_APKPure,Resize Text - insufficient increase,1.4.4 Resize Text,AA,38,30.65
TeamGram_4.10.0_APKPure,Resize Text - insufficient reduction,Optional Check - Text Reduction,Advisory,38,30.65
TeamGram_4.10.0_APKPure,Missing Accessible Name,"4.1.2 Name, Role, Value",A,9,7.26
TeamGram_4.10.0_APKPure,Target Size Failure (Minimum),2.5.8 Target Size (Minimum),AA,3,2.42
Test DPC_9.0.13_APKPure,Contrast Failure,1.4.3 Contrast (Minimum),AA,8,34.78
Test DPC_9.0.13_APKPure,Missing Accessible Name,"4.1.2 Name, Role, Value",A,3,13.04
Test DPC_9.0.13_APKPure,Target Size Failure,2.5.5 Target Size (Enhanced),AAA,2,8.7
Test DPC_9.0.13_APKPure,Target Size Failure (Minimum),2.5.8 Target Size (Minimum),AA,1,4.35
Test DPC_9.0.13_APKPure,Duplicate Text,3.2.4 Consistent Identification,AA,1,4.35
Test DPC_9.0.13_APKPure,Resize Text - insufficient increase,1.4.4 Resize Text,AA,4,17.39
Test DPC_9.0.13_APKPure,Resize Text - insufficient reduction,Optional Check - Text Reduction,Advisory,4,17.39
thelife,Missing Accessible Name,"4.1.2 Name, Role, Value",A,6,22.22
thelife,Target Size Failure,2.5.5 Target Size (Enhanced),AAA,15,55.56
thelife,Target Size Failure (Minimum),2.5.8 Target Size (Minimum),AA,6,22.22
ThinkDiag_APKPure,Missing Content Description,1.1.1 Non-text Content,A,16,7.88
ThinkDiag_APKPure,Missing Accessible Name,"4.1.2 Name, Role, Value",A,17,8.37
ThinkDiag_APKPure,Target Size Failure,2.5.5 Target Size (Enhanced),AAA,26,12.81
ThinkDiag_APKPure,Resize Text - insufficient increase,1.4.4 Resize Text,AA,60,29.56
ThinkDiag_APKPure,Resize Text - insufficient reduction,Optional Check - Text Reduction,Advisory,60,29.56
ThinkDiag_APKPure,Contrast Failure,1.4.3 Contrast (Minimum),AA,11,5.42
ThinkDiag_APKPure,Error Message Detected,3.3.1 Error Identification,A,6,2.96
ThinkDiag_APKPure,Missing Label or Instruction,3.3.2 Labels or Instructions,A,4,1.97
ThinkDiag_APKPure,Target Size Failure (Minimum),2.5.8 Target Size (Minimum),AA,3,1.48
ToS;DR,Contrast Failure,1.4.3 Contrast (Minimum),AA,1,0.17
ToS;DR,Missing Accessible Name,"4.1.2 Name, Role, Value",A,5,0.83
ToS;DR,Missing Label or Instruction,3.3.2 Labels or Instructions,A,1,0.17
ToS;DR,Target Size Failure,2.5.5 Target Size (Enhanced),AAA,145,24.05
ToS;DR,Target Size Failure (Minimum),2.5.8 Target Size (Minimum),AA,128,21.23
ToS;DR,Gesture-Only Navigation,2.5.1 Pointer Gestures,A,28,4.64
ToS;DR,Duplicate Text,3.2.4 Consistent Identification,AA,7,1.16
ToS;DR,Resize Text - insufficient increase,1.4.4 Resize Text,AA,144,23.88
ToS;DR,Resize Text - insufficient reduction,Optional Check - Text Reduction,Advisory,144,23.88
Track&Graph,Contrast Failure,1.4.3 Contrast (Minimum),AA,1,11.11
Track&Graph,Missing Accessible Name,"4.1.2 Name, Role, Value",A,1,11.11
Track&Graph,Target Size Failure,2.5.5 Target Size (Enhanced),AAA,1,11.11
Track&Graph,Resize Text - insufficient increase,1.4.4 Resize Text,AA,3,33.33
Track&Graph,Resize Text - insufficient reduction,Optional Check - Text Reduction,Advisory,3,33.33
Transito,Missing Accessible Name,"4.1.2 Name, Role, Value",A,12,70.59
Transito,Missing Label or Instruction,3.3.2 Labels or Instructions,A,2,11.76
Transito,Duplicate Text,3.2.4 Consistent Identification,AA,3,17.65
Transportr - Public Transit_2.2.1_APKPure,Resize Text - insufficient increase,1.4.4 Resize Text,AA,18,47.37
Transportr - Public Transit_2.2.1_APKPure,Resize Text - insufficient reduction,Optional Check - Text Reduction,Advisory,18,47.37
Transportr - Public Transit_2.2.1_APKPure,Duplicate Text,3.2.4 Consistent Identification,AA,2,5.26
Tridenta,Resize Text - insufficient increase,1.4.4 Resize Text,AA,21,38.18
Tridenta,Resize Text - insufficient reduction,Optional Check - Text Reduction,Advisory,24,43.64
Tridenta,Contrast Failure,1.4.3 Contrast (Minimum),AA,1,1.82
Tridenta,Target Size Failure,2.5.5 Target Size (Enhanced),AAA,8,14.55
Tridenta,Target Size Failure (Minimum),2.5.8 Target Size (Minimum),AA,1,1.82
Umax - Become Hot_APKPure,Resize Text - insufficient increase,1.4.4 Resize Text,AA,10,31.25
Umax - Become Hot_APKPure,Resize Text - insufficient reduction,Optional Check - Text Reduction,Advisory,17,53.12
Umax - Become Hot_APKPure,Error Message Detected,3.3.1 Error Identification,A,1,3.12
Umax - Become Hot_APKPure,Target Size Failure,2.5.5 Target Size (Enhanced),AAA,4,12.5
Unibuddy_1.64.0_APKPure,Target Size Failure,2.5.5 Target Size (Enhanced),AAA,5,7.58
Unibuddy_1.64.0_APKPure,Duplicate Text,3.2.4 Consistent Identification,AA,4,6.06
Unibuddy_1.64.0_APKPure,Resize Text - insufficient increase,1.4.4 Resize Text,AA,26,39.39
Unibuddy_1.64.0_APKPure,Resize Text - insufficient reduction,Optional Check - Text Reduction,Advisory,26,39.39
Unibuddy_1.64.0_APKPure,Contrast Failure,1.4.3 Contrast (Minimum),AA,1,1.52
Unibuddy_1.64.0_APKPure,Error Message Detected,3.3.1 Error Identification,A,3,4.55
Unibuddy_1.64.0_APKPure,Target Size Failure (Minimum),2.5.8 Target Size (Minimum),AA,1,1.52
UnitsTools,Target Size Failure,2.5.5 Target Size (Enhanced),AAA,31,38.27
UnitsTools,Duplicate Text,3.2.4 Consistent Identification,AA,4,4.94
UnitsTools,Resize Text - insufficient increase,1.4.4 Resize Text,AA,17,20.99
UnitsTools,Resize Text - insufficient reduction,Optional Check - Text Reduction,Advisory,21,25.93
UnitsTools,Overlapping Elements,1.4.12 Text Spacing,AA,6,7.41
UnitsTools,Target Size Failure (Minimum),2.5.8 Target Size (Minimum),AA,2,2.47
Unpopular_Music_Player,Duplicate Text,3.2.4 Consistent Identification,AA,1,0.68
Unpopular_Music_Player,Resize Text - insufficient increase,1.4.4 Resize Text,AA,73,49.66
Unpopular_Music_Player,Resize Text - insufficient reduction,Optional Check - Text Reduction,Advisory,73,49.66
URLCheck,Target Size Failure,2.5.5 Target Size (Enhanced),AAA,26,19.7
URLCheck,Resize Text - insufficient increase,1.4.4 Resize Text,AA,31,23.48
URLCheck,Resize Text - insufficient reduction,Optional Check - Text Reduction,Advisory,32,24.24
URLCheck,Missing Content Description,1.1.1 Non-text Content,A,6,4.55
URLCheck,Missing Accessible Name,"4.1.2 Name, Role, Value",A,10,7.58
URLCheck,Duplicate Text,3.2.4 Consistent Identification,AA,4,3.03
URLCheck,Gesture-Only Navigation,2.5.1 Pointer Gestures,A,13,9.85
URLCheck,Overlapping Elements,1.4.12 Text Spacing,AA,3,2.27
URLCheck,Contrast Failure,1.4.3 Contrast (Minimum),AA,7,5.3
urn,Contrast Failure,1.4.3 Contrast (Minimum),AA,8,11.43
urn,Resize Text - insufficient increase,1.4.4 Resize Text,AA,29,41.43
urn,Resize Text - insufficient reduction,Optional Check - Text Reduction,Advisory,29,41.43
urn,Overlapping Elements,1.4.12 Text Spacing,AA,3,4.29
urn,Duplicate Text,3.2.4 Consistent Identification,AA,1,1.43
Vagaro Check-In_1.3.6_APKPure,Resize Text - insufficient increase,1.4.4 Resize Text,AA,2,50.0
Vagaro Check-In_1.3.6_APKPure,Resize Text - insufficient reduction,Optional Check - Text Reduction,Advisory,2,50.0
Venix - Pedidos de Venda_2.4.9_APKPure,Target Size Failure,2.5.5 Target Size (Enhanced),AAA,5,13.51
Venix - Pedidos de Venda_2.4.9_APKPure,Resize Text - insufficient increase,1.4.4 Resize Text,AA,15,40.54
Venix - Pedidos de Venda_2.4.9_APKPure,Resize Text - insufficient reduction,Optional Check - Text Reduction,Advisory,15,40.54
Venix - Pedidos de Venda_2.4.9_APKPure,Missing Label or Instruction,3.3.2 Labels or Instructions,A,2,5.41
Victory City Churches_6.14.1_APKPure,Resize Text - insufficient reduction,Optional Check - Text Reduction,Advisory,17,65.38
Victory City Churches_6.14.1_APKPure,Contrast Failure,1.4.3 Contrast (Minimum),AA,3,11.54
Victory City Churches_6.14.1_APKPure,Target Size Failure,2.5.5 Target Size (Enhanced),AAA,2,7.69
Victory City Churches_6.14.1_APKPure,Resize Text - insufficient increase,1.4.4 Resize Text,AA,4,15.38
Vigi_5.0.0_APKPure,Target Size Failure,2.5.5 Target Size (Enhanced),AAA,8,25.81
Vigi_5.0.0_APKPure,Resize Text - insufficient increase,1.4.4 Resize Text,AA,9,29.03
Vigi_5.0.0_APKPure,Resize Text - insufficient reduction,Optional Check - Text Reduction,Advisory,9,29.03
Vigi_5.0.0_APKPure,Contrast Failure,1.4.3 Contrast (Minimum),AA,3,9.68
Vigi_5.0.0_APKPure,Missing Label or Instruction,3.3.2 Labels or Instructions,A,1,3.23
Vigi_5.0.0_APKPure,Duplicate Text,3.2.4 Consistent Identification,AA,1,3.23
Weather & Widget - Weawow_6.4.6_APKPure,Overlapping Elements,1.4.12 Text Spacing,AA,6,7.14
Weather & Widget - Weawow_6.4.6_APKPure,Resize Text - insufficient increase,1.4.4 Resize Text,AA,33,39.29
Weather & Widget - Weawow_6.4.6_APKPure,Resize Text - insufficient reduction,Optional Check - Text Reduction,Advisory,33,39.29
Weather & Widget - Weawow_6.4.6_APKPure,Target Size Failure,2.5.5 Target Size (Enhanced),AAA,6,7.14
Weather & Widget - Weawow_6.4.6_APKPure,Target Size Failure (Minimum),2.5.8 Target Size (Minimum),AA,4,4.76
Weather & Widget - Weawow_6.4.6_APKPure,Error Message Detected,3.3.1 Error Identification,A,1,1.19
Weather & Widget - Weawow_6.4.6_APKPure,Missing Label or Instruction,3.3.2 Labels or Instructions,A,1,1.19
whoBIRD,Missing Content Description,1.1.1 Non-text Content,A,15,23.08
whoBIRD,Missing Accessible Name,"4.1.2 Name, Role, Value",A,10,15.38
whoBIRD,Resize Text - insufficient increase,1.4.4 Resize Text,AA,20,30.77
whoBIRD,Resize Text - insufficient reduction,Optional Check - Text Reduction,Advisory,20,30.77
WiFi Analyzer (open-source)_3.1.4_APKPure,Overlapping Elements,1.4.12 Text Spacing,AA,3,3.03
WiFi Analyzer (open-source)_3.1.4_APKPure,Contrast Failure,1.4.3 Contrast (Minimum),AA,20,20.2
WiFi Analyzer (open-source)_3.1.4_APKPure,Missing Accessible Name,"4.1.2 Name, Role, Value",A,1,1.01
WiFi Analyzer (open-source)_3.1.4_APKPure,Target Size Failure,2.5.5 Target Size (Enhanced),AAA,5,5.05
WiFi Analyzer (open-source)_3.1.4_APKPure,Target Size Failure (Minimum),2.5.8 Target Size (Minimum),AA,1,1.01
WiFi Analyzer (open-source)_3.1.4_APKPure,Gesture-Only Navigation,2.5.1 Pointer Gestures,A,7,7.07
WiFi Analyzer (open-source)_3.1.4_APKPure,Duplicate Text,3.2.4 Consistent Identification,AA,31,31.31
WiFi Analyzer (open-source)_3.1.4_APKPure,Resize Text - insufficient increase,1.4.4 Resize Text,AA,16,16.16
WiFi Analyzer (open-source)_3.1.4_APKPure,Resize Text - insufficient reduction,Optional Check - Text Reduction,Advisory,15,15.15
Wifi Connection Anywhere Map_APKPure,Missing Content Description,1.1.1 Non-text Content,A,3,11.11
Wifi Connection Anywhere Map_APKPure,Missing Accessible Name,"4.1.2 Name, Role, Value",A,6,22.22
Wifi Connection Anywhere Map_APKPure,Resize Text - insufficient increase,1.4.4 Resize Text,AA,9,33.33
Wifi Connection Anywhere Map_APKPure,Resize Text - insufficient reduction,Optional Check - Text Reduction,Advisory,9,33.33
WiFi Manager_4.3.0-230-nicolas_APKPure,Target Size Failure,2.5.5 Target Size (Enhanced),AAA,12,22.64
WiFi Manager_4.3.0-230-nicolas_APKPure,Resize Text - insufficient increase,1.4.4 Resize Text,AA,7,13.21
WiFi Manager_4.3.0-230-nicolas_APKPure,Resize Text - insufficient reduction,Optional Check - Text Reduction,Advisory,7,13.21
WiFi Manager_4.3.0-230-nicolas_APKPure,Overlapping Elements,1.4.12 Text Spacing,AA,9,16.98
WiFi Manager_4.3.0-230-nicolas_APKPure,Contrast Failure,1.4.3 Contrast (Minimum),AA,1,1.89
WiFi Manager_4.3.0-230-nicolas_APKPure,Missing Accessible Name,"4.1.2 Name, Role, Value",A,7,13.21
WiFi Manager_4.3.0-230-nicolas_APKPure,Duplicate Text,3.2.4 Consistent Identification,AA,4,7.55
WiFi Manager_4.3.0-230-nicolas_APKPure,Missing Content Description,1.1.1 Non-text Content,A,6,11.32
WiFi Password - Auto Connect_APKPure,Missing Content Description,1.1.1 Non-text Content,A,9,16.36
WiFi Password - Auto Connect_APKPure,Missing Accessible Name,"4.1.2 Name, Role, Value",A,10,18.18
WiFi Password - Auto Connect_APKPure,Target Size Failure,2.5.5 Target Size (Enhanced),AAA,5,9.09
WiFi Password - Auto Connect_APKPure,Resize Text - insufficient increase,1.4.4 Resize Text,AA,12,21.82
WiFi Password - Auto Connect_APKPure,Resize Text - insufficient reduction,Optional Check - Text Reduction,Advisory,12,21.82
WiFi Password - Auto Connect_APKPure,Target Size Failure (Minimum),2.5.8 Target Size (Minimum),AA,1,1.82
WiFi Password - Auto Connect_APKPure,Gesture-Only Navigation,2.5.1 Pointer Gestures,A,6,10.91
wifiwidget,Target Size Failure,2.5.5 Target Size (Enhanced),AAA,8,6.61
wifiwidget,Resize Text - insufficient increase,1.4.4 Resize Text,AA,58,47.93
wifiwidget,Contrast Failure,1.4.3 Contrast (Minimum),AA,1,0.83
wifiwidget,Missing Accessible Name,"4.1.2 Name, Role, Value",A,2,1.65
wifiwidget,Target Size Failure (Minimum),2.5.8 Target Size (Minimum),AA,5,4.13
wifiwidget,Resize Text - insufficient reduction,Optional Check - Text Reduction,Advisory,47,38.84
WikiReader,Contrast Failure,1.4.3 Contrast (Minimum),AA,1,3.45
WikiReader,Resize Text - insufficient increase,1.4.4 Resize Text,AA,11,37.93
WikiReader,Resize Text - insufficient reduction,Optional Check - Text Reduction,Advisory,10,34.48
WikiReader,Missing Accessible Name,"4.1.2 Name, Role, Value",A,1,3.45
WikiReader,Missing Label or Instruction,3.3.2 Labels or Instructions,A,1,3.45
WikiReader,Target Size Failure,2.5.5 Target Size (Enhanced),AAA,1,3.45
WikiReader,Target Size Failure (Minimum),2.5.8 Target Size (Minimum),AA,1,3.45
WikiReader,Gesture-Only Navigation,2.5.1 Pointer Gestures,A,1,3.45
WikiReader,Duplicate Text,3.2.4 Consistent Identification,AA,1,3.45
WikiReader,Non-essential Content Description Should Be Empty,1.1.1 Non-text Content,A,1,3.45
Wisdo_ Mental Health & Support_1.9.69-Production_APKPure,Target Size Failure,2.5.5 Target Size (Enhanced),AAA,8,17.02
Wisdo_ Mental Health & Support_1.9.69-Production_APKPure,Resize Text - insufficient increase,1.4.4 Resize Text,AA,17,36.17
Wisdo_ Mental Health & Support_1.9.69-Production_APKPure,Resize Text - insufficient reduction,Optional Check - Text Reduction,Advisory,17,36.17
Wisdo_ Mental Health & Support_1.9.69-Production_APKPure,Contrast Failure,1.4.3 Contrast (Minimum),AA,5,10.64
wispaar,Target Size Failure,2.5.5 Target Size (Enhanced),AAA,25,33.33
wispaar,Missing Content Description,1.1.1 Non-text Content,A,2,2.67
wispaar,Missing Accessible Name,"4.1.2 Name, Role, Value",A,7,9.33
wispaar,Target Size Failure (Minimum),2.5.8 Target Size (Minimum),AA,15,20.0
wispaar,Resize Text - insufficient increase,1.4.4 Resize Text,AA,12,16.0
wispaar,Resize Text - insufficient reduction,Optional Check - Text Reduction,Advisory,12,16.0
wispaar,Missing Label or Instruction,3.3.2 Labels or Instructions,A,2,2.67
Workout_Manager,Missing Accessible Name,"4.1.2 Name, Role, Value",A,6,42.86
Workout_Manager,Missing Label or Instruction,3.3.2 Labels or Instructions,A,4,28.57
Workout_Manager,Target Size Failure,2.5.5 Target Size (Enhanced),AAA,4,28.57
Xender_APKPure,Contrast Failure,1.4.3 Contrast (Minimum),AA,1,6.67
Xender_APKPure,Resize Text - insufficient increase,1.4.4 Resize Text,AA,7,46.67
Xender_APKPure,Resize Text - insufficient reduction,Optional Check - Text Reduction,Advisory,7,46.67
Zangi Private Messenger_6.2.4_APKPure,Missing Content Description,1.1.1 Non-text Content,A,4,4.94
Zangi Private Messenger_6.2.4_APKPure,Missing Accessible Name,"4.1.2 Name, Role, Value",A,5,6.17
Zangi Private Messenger_6.2.4_APKPure,Target Size Failure,2.5.5 Target Size (Enhanced),AAA,2,2.47
